id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,is_explicit,language
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,euphoric;uplifting,False,english
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,55,2020s,nostalgic;dreamy,False,instrumental
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,64,2010s,aggressive;defiant,False,english
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,48,2020s,dreamy;nostalgic,False,instrumental
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,82,2020s,aggressive;euphoric,False,english
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,35,2010s,dreamy;introspective,False,instrumental
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,41,2000s,nostalgic;warm,False,english
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,60,2010s,nostalgic;cinematic,False,instrumental
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,50,2020s,introspective;dreamy,False,instrumental
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,69,2020s,uplifting;euphoric,False,english
11,Golden Static,Indigo Parade,indie pop,happy,0.68,116,0.78,0.75,0.40,58,2010s,uplifting;warm,False,english
12,Blackout Riot,Voltline,rock,angry,0.95,158,0.35,0.60,0.05,71,2010s,aggressive;defiant,True,english
13,Paper Moon,Slow Stereo,jazz,relaxed,0.30,86,0.68,0.48,0.90,33,2000s,warm;nostalgic,False,english
14,Neon Requiem,Orbit Bloom,ambient,moody,0.22,58,0.40,0.30,0.95,28,2010s,introspective;cinematic,False,instrumental
15,Wildfire Heart,Max Pulse,pop,energetic,0.88,128,0.80,0.85,0.08,74,2020s,euphoric;uplifting,False,english
16,Quiet Static,Paper Lanterns,lofi,sad,0.20,66,0.30,0.35,0.88,25,2020s,introspective;melancholy,False,instrumental
17,Chrome Horizon,Neon Echo,synthwave,energetic,0.80,122,0.70,0.77,0.15,63,2010s,cinematic;euphoric,False,instrumental
18,Velvet Room,Slow Stereo,jazz,chill,0.33,84,0.62,0.50,0.85,37,2000s,warm;dreamy,False,english
19,Ghost Frequency,Voltline,rock,moody,0.60,100,0.42,0.45,0.30,45,2010s,defiant;cinematic,False,english
20,Morning Static,Indigo Parade,indie pop,focused,0.55,102,0.63,0.68,0.42,52,2020s,introspective;warm,False,english
